Time	Velocity
0	0
0.1	0.03
0.2	0.13
0.3	0.31
0.4	0.51
0.5	0.72
0.6	0.94
0.7	1.13
0.8	1.28
0.9	1.37
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.4
1.5	1.4
1.6	1.4
1.7	1.38
1.8	1.29
1.9	1.15
2	0.96
2.1	0.75
2.2	0.53
2.3	0.33
2.4	0.17
2.5	0.05
0	-0.01
0.1	-0.05
0.2	-0.23
0.3	-0.53
0.4	-0.83
0.5	-1.11
0.6	-1.31
0.7	-1.4
0.8	-1.35
0.9	-1.2
1	-0.91
1.1	-0.6
1.2	-0.32
1.3	-0.1
0	0
0.1	0.04
0.2	0.14
0.3	0.3
0.4	0.5
0.5	0.72
0.6	0.93
0.7	1.13
0.8	1.28
0.9	1.37
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.4
1.5	1.4
1.6	1.4
1.7	1.4
1.8	1.4
1.9	1.34
2	1.22
2.1	1.05
2.2	0.85
2.3	0.63
2.4	0.42
2.5	0.23
2.6	0.09
2.7	0.02
0	-0.01
0.1	-0.07
0.2	-0.25
0.3	-0.53
0.4	-0.83
0.5	-1.11
0.6	-1.3
0.7	-1.4
0.8	-1.35
0.9	-1.17
1	-0.91
1.1	-0.64
1.2	-0.32
1.3	-0.11
